epoch,step,test_f1,test_loss,test_precision,test_recall,test_roc_auc,val_f1,val_loss,val_precision,val_recall,val_roc_auc
0,417,,,,,,0.7818930149078369,0.29961711168289185,0.7916666865348816,0.772357702255249,0.9588244557380676
1,835,,,,,,0.7306272983551025,0.2788066267967224,0.6689189076423645,0.8048780560493469,0.9628059267997742
2,1253,,,,,,0.7903226017951965,0.30297571420669556,0.7839999794960022,0.7967479825019836,0.9626737236976624
3,1671,,,,,,0.7644787430763245,0.31153541803359985,0.7279411554336548,0.8048780560493469,0.9631280899047852
4,2089,,,,,,0.8099173307418823,0.37368306517601013,0.8235294222831726,0.7967479825019836,0.9628648161888123
5,2507,,,,,,0.7734375,0.3688508868217468,0.7443609237670898,0.8048780560493469,0.9608291387557983
6,2925,,,,,,0.8032786846160889,0.4773752689361572,0.8099173307418823,0.7967479825019836,0.9605869054794312
7,3343,,,,,,0.806584358215332,0.3753112852573395,0.8166666626930237,0.7967479825019836,0.9631948471069336
8,3761,,,,,,0.7967479825019836,0.41264137625694275,0.7967479825019836,0.7967479825019836,0.9645153880119324
9,4179,,,,,,0.7935222387313843,0.6249251365661621,0.7903226017951965,0.7967479825019836,0.9602147936820984
10,4597,,,,,,0.7443609237670898,0.5660045742988586,0.692307710647583,0.8048780560493469,0.9600164890289307
11,5015,,,,,,0.7443609237670898,0.786941647529602,0.692307710647583,0.8048780560493469,0.9607598185539246
12,5016,0.7443609237670898,0.786941647529602,0.692307710647583,0.8048780560493469,0.9607598185539246,,,,,
